"Step","clmux/_clmux-newyork__sac_continuous_action__1__1727035402 - charts/episodic_return","clmux/_clmux-newyork__sac_continuous_action__1__1727035402 - charts/episodic_return__MIN","clmux/_clmux-newyork__sac_continuous_action__1__1727035402 - charts/episodic_return__MAX","clmux/_clmux-beijing__sac_continuous_action__1__1727035402 - charts/episodic_return","clmux/_clmux-beijing__sac_continuous_action__1__1727035402 - charts/episodic_return__MIN","clmux/_clmux-beijing__sac_continuous_action__1__1727035402 - charts/episodic_return__MAX","clmux/_clmux-hongkong__sac_continuous_action__1__1727035402 - charts/episodic_return","clmux/_clmux-hongkong__sac_continuous_action__1__1727035402 - charts/episodic_return__MIN","clmux/_clmux-hongkong__sac_continuous_action__1__1727035402 - charts/episodic_return__MAX","clmux/_clmux-singapore__sac_continuous_action__1__1727035402 - charts/episodic_return","clmux/_clmux-singapore__sac_continuous_action__1__1727035402 - charts/episodic_return__MIN","clmux/_clmux-singapore__sac_continuous_action__1__1727035402 - charts/episodic_return__MAX","clmux/_clmux-london__sac_continuous_action__1__1727035402 - charts/episodic_return","clmux/_clmux-london__sac_continuous_action__1__1727035402 - charts/episodic_return__MIN","clmux/_clmux-london__sac_continuous_action__1__1727035402 - charts/episodic_return__MAX"
"4178","-154484.703125","-154484.703125","-154484.703125","-139213.984375","-139213.984375","-139213.984375","-121387.3515625","-121387.3515625","-121387.3515625","-134216.59375","-134216.59375","-134216.59375","-252483.015625","-252483.015625","-252483.015625"
"4354","-154120.328125","-154120.328125","-154120.328125","-139085.015625","-139085.015625","-139085.015625","-121136.109375","-121136.109375","-121136.109375","-134207.265625","-134207.265625","-134207.265625","-252384.984375","-252384.984375","-252384.984375"
"4530","-152913.25","-152913.25","-152913.25","-138984.296875","-138984.296875","-138984.296875","-120527.6953125","-120527.6953125","-120527.6953125","-134182.875","-134182.875","-134182.875","-211790.71875","-211790.71875","-211790.71875"
"4706","-155986.953125","-155986.953125","-155986.953125","-140903.171875","-140903.171875","-140903.171875","-120437.1796875","-120437.1796875","-120437.1796875","-134183.34375","-134183.34375","-134183.34375","-134012.78125","-134012.78125","-134012.78125"
"4883","-160156.65625","-160156.65625","-160156.65625","-138908.953125","-138908.953125","-138908.953125","-120783.0703125","-120783.0703125","-120783.0703125","-134197.265625","-134197.265625","-134197.265625","-133332","-133332","-133332"
"5059","-155745.84375","-155745.84375","-155745.84375","-139081.859375","-139081.859375","-139081.859375","-121394.1328125","-121394.1328125","-121394.1328125","-134181.296875","-134181.296875","-134181.296875","-133857.625","-133857.625","-133857.625"
"5235","-153871.140625","-153871.140625","-153871.140625","-139215.703125","-139215.703125","-139215.703125","-120534.703125","-120534.703125","-120534.703125","-134183.96875","-134183.96875","-134183.96875","-134128.703125","-134128.703125","-134128.703125"
"5411","-155414.125","-155414.125","-155414.125","-139185.234375","-139185.234375","-139185.234375","-122891.046875","-122891.046875","-122891.046875","-134169.828125","-134169.828125","-134169.828125","-133598.53125","-133598.53125","-133598.53125"
"5587","-155836.890625","-155836.890625","-155836.890625","-139275.796875","-139275.796875","-139275.796875","-121073.9140625","-121073.9140625","-121073.9140625","-134201.953125","-134201.953125","-134201.953125","-133624.796875","-133624.796875","-133624.796875"
"5763","-154105.078125","-154105.078125","-154105.078125","-139202.890625","-139202.890625","-139202.890625","-121038.484375","-121038.484375","-121038.484375","-134192.3125","-134192.3125","-134192.3125","-133792.203125","-133792.203125","-133792.203125"
"5940","-154341.84375","-154341.84375","-154341.84375","-139282.75","-139282.75","-139282.75","-121107.25","-121107.25","-121107.25","-134187.765625","-134187.765625","-134187.765625","-133923.53125","-133923.53125","-133923.53125"
"6116","-154849.125","-154849.125","-154849.125","-139238.234375","-139238.234375","-139238.234375","-121426.5703125","-121426.5703125","-121426.5703125","-134178.296875","-134178.296875","-134178.296875","-133981.421875","-133981.421875","-133981.421875"
"6292","-159372.140625","-159372.140625","-159372.140625","-139191.78125","-139191.78125","-139191.78125","-121497.75","-121497.75","-121497.75","-134175.046875","-134175.046875","-134175.046875","-134001.296875","-134001.296875","-134001.296875"
"6468","-154254.1875","-154254.1875","-154254.1875","-139131.3125","-139131.3125","-139131.3125","-121026.0546875","-121026.0546875","-121026.0546875","-134178.390625","-134178.390625","-134178.390625","-133964.84375","-133964.84375","-133964.84375"
"6644","-154186.6875","-154186.6875","-154186.6875","-138875.328125","-138875.328125","-138875.328125","-121494.90625","-121494.90625","-121494.90625","-134168.1875","-134168.1875","-134168.1875","-133892.1875","-133892.1875","-133892.1875"
"6821","-155324.25","-155324.25","-155324.25","-138818.046875","-138818.046875","-138818.046875","-126480.7578125","-126480.7578125","-126480.7578125","-134175.25","-134175.25","-134175.25","-133859.03125","-133859.03125","-133859.03125"
"6997","-156079.90625","-156079.90625","-156079.90625","-138365","-138365","-138365","-120748.109375","-120748.109375","-120748.109375","-134158.484375","-134158.484375","-134158.484375","-133875.765625","-133875.765625","-133875.765625"
"7173","-156326.3125","-156326.3125","-156326.3125","-138554.9375","-138554.9375","-138554.9375","-120847.921875","-120847.921875","-120847.921875","-134148","-134148","-134148","-133976.859375","-133976.859375","-133976.859375"
"7349","-156599.96875","-156599.96875","-156599.96875","-139172.84375","-139172.84375","-139172.84375","-120973.84375","-120973.84375","-120973.84375","-134129.734375","-134129.734375","-134129.734375","-133977.25","-133977.25","-133977.25"
"7525","-160637.609375","-160637.609375","-160637.609375","-139862.703125","-139862.703125","-139862.703125","-122468.3984375","-122468.3984375","-122468.3984375","-134113.09375","-134113.09375","-134113.09375","-134015.203125","-134015.203125","-134015.203125"
"7701","-155077.96875","-155077.96875","-155077.96875","-139107.40625","-139107.40625","-139107.40625","-121744.25","-121744.25","-121744.25","-134127.59375","-134127.59375","-134127.59375","-133989.84375","-133989.84375","-133989.84375"
"7878","-154329.609375","-154329.609375","-154329.609375","-139031.0625","-139031.0625","-139031.0625","-121416.5546875","-121416.5546875","-121416.5546875","-134118.109375","-134118.109375","-134118.109375","-133979.5625","-133979.5625","-133979.5625"
"8054","-153665.953125","-153665.953125","-153665.953125","-140611.0625","-140611.0625","-140611.0625","-120882.828125","-120882.828125","-120882.828125","-134122.125","-134122.125","-134122.125","-134035.609375","-134035.609375","-134035.609375"
"8230","-153393.34375","-153393.34375","-153393.34375","-139741.171875","-139741.171875","-139741.171875","-122257.125","-122257.125","-122257.125","-134111.8125","-134111.8125","-134111.8125","-134054.84375","-134054.84375","-134054.84375"
"8406","-153722.984375","-153722.984375","-153722.984375","-140170.578125","-140170.578125","-140170.578125","-122026.1796875","-122026.1796875","-122026.1796875","-134123.875","-134123.875","-134123.875","-134069.265625","-134069.265625","-134069.265625"
"8582","-152933.34375","-152933.34375","-152933.34375","-140108.28125","-140108.28125","-140108.28125","-121777.703125","-121777.703125","-121777.703125","-134111.390625","-134111.390625","-134111.390625","-134026.015625","-134026.015625","-134026.015625"
"8758","-152413.703125","-152413.703125","-152413.703125","-139829.359375","-139829.359375","-139829.359375","-121699.4609375","-121699.4609375","-121699.4609375","-134122.578125","-134122.578125","-134122.578125","-134060.296875","-134060.296875","-134060.296875"
