city,type,Tair,Qair,PSurf,Wind,SWdown,LWdown,Prectmms
London,mean,284.49637,0.006104583,100807.664,3.520277,109.00856,327.79373,2.6210393e-05
London,std,5.4358697,0.002007928,1116.6703,1.6143217,179.26671,40.26481,0.00013548721
New York,mean,286.43209536485824,0.007690809087826034,101125.01990156471,4.340881378403031,165.92296759791424,320.0014178056626,4.0822032379174296e-05
New York,std,9.491789878827683,0.004809544856022354,706.4182393095319,2.18587701965244,243.21502524045977,64.28706683005929,0.0001691027201091022
Beijing,mean,286.0955716470968,0.006952503645098037,100637.84694713957,2.8098314171575796,169.8594886529473,305.82428328900664,2.477571952096609e-05
Beijing,std,11.497437127387279,0.005699374728585662,1003.657029678015,1.7974730436989415,241.45069717998473,76.08133080247696,0.00013786296391527864
Hong Kong,mean,296.91760508858016,0.015188903455412881,100269.24415535324,4.568149417010099,195.33196590179847,394.9020566728526,5.856689062543898e-05
Hong Kong,std,5.360630737203983,0.005445045375148731,649.2067770730127,2.182313281631464,268.56705334200956,43.259190709145116,0.00021244712838101125
Singapore,mean,300.16338118019934,0.018371461362844545,100458.08656222049,4.120362832715872,201.6793878789151,423.2791473759349,8.863442390955711e-05
Singapore,std,1.3450174519156164,0.0009242279905918026,174.9805652985843,1.9020935192216355,273.72331082465837,9.570905095994615,0.00020670986998230195
