model,COST,COST,COST,COST,PMV,PMV,PMV,PMV
,No Wasteheat,Wasteheat,DIFF,PERCENT,No Wasteheat,Wasteheat,DIFF,PERCENT
H-18,3649327.97,3791872.63,142544.66,3.91,-1.41,-1.42,-0.01,0.98
H-20,4247191.05,4411036.77,163845.71,3.86,-1.05,-1.06,-0.02,1.51
H-22,4843031.59,5027775.64,184744.05,3.81,-0.68,-0.7,-0.02,2.62
H-24,5478632.46,5655600.63,176968.17,3.23,-0.3,-0.32,-0.02,6.39
RL-0.3,5190539.66,5385782.33,195242.67,3.76,-0.42,-0.44,-0.02,4.43
RL-0.5,5159369.10,5351922.08,192552.98,3.73,-0.43,-0.45,-0.02,4.27
RL-0.7,4987591.90,5177176.26,189584.36,3.8,-0.55,-0.57,-0.02,3.15
