model,TSA,TSA,TSA,RH2M,RH2M,RH2M
,No Wasteheat,Wasteheat,DIFF,No Wasteheat,Wasteheat,DIFF
H-18,279.989,279.668,-0.321,71.748,73.177,1.429
H-20,280.063,279.702,-0.361,71.293,72.916,1.623
H-22,280.133,279.735,-0.398,70.868,72.68,1.812
H-24,280.205,279.775,-0.43,70.451,72.415,1.964
RL-0.3,280.171,279.755,-0.416,70.651,72.473,1.822
RL-0.5,280.167,279.756,-0.411,70.676,72.48,1.804
RL-0.7,280.147,279.741,-0.406,70.793,72.579,1.786
