model,COST,COST,COST,COST,PMV,PMV,PMV,PMV
,No Wasteheat,Wasteheat,DIFF,PERCENT,No Wasteheat,Wasteheat,DIFF,PERCENT
H-18,0.107,0.111,0.004,3.906,-1.41,-1.424,-0.014,0.978
H-20,0.125,0.129,0.005,3.858,-1.046,-1.062,-0.016,1.509
H-22,0.142,0.147,0.005,3.815,-0.678,-0.696,-0.018,2.623
H-24,0.161,0.166,0.005,3.23,-0.304,-0.324,-0.019,6.385
RL-0.3,0.152,0.158,0.006,3.762,-0.419,-0.438,-0.019,4.43
RL-0.5,0.151,0.157,0.006,3.732,-0.429,-0.447,-0.018,4.268
RL-0.7,0.146,0.152,0.006,3.801,-0.548,-0.565,-0.017,3.152
